checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,has_telephone,foreign_worker,job,gender
-43.0,6,critical,radio/tv,1169,781.5703794369645,13 years,4,single,none,6 years,real estate,67,none,own,2,0,1,1,yes,skilled employee,male
75.0,48,repaid,radio/tv,5951,89.0,2 years,2,single,none,5 months,real estate,22,none,own,1,1,1,0,yes,skilled employee,female
97.24587458745874,12,critical,education,2096,24.0,5 years,2,single,none,4 years,real estate,49,none,own,1,0,2,0,yes,unskilled resident,male
-32.0,42,repaid,furniture,7882,9.0,5 years,2,single,guarantor,13 years,building society savings,45,none,for free,1,0,2,0,yes,skilled employee,male
-23.0,24,delayed,car (new),4870,43.0,3 years,3,single,none,13 years,unknown/none,53,none,for free,2,1,2,0,yes,skilled employee,male
97.24587458745874,36,repaid,education,9055,781.5703794369645,2 years,2,single,none,8 years,unknown/none,35,none,for free,1,0,2,1,yes,unskilled resident,male
97.24587458745874,24,repaid,furniture,2835,761.0,11 years,3,single,none,12 years,building society savings,53,none,own,1,0,1,0,yes,skilled employee,male
169.0,36,repaid,car (used),6948,57.0,2 years,2,single,none,3 months,other,35,none,rent,1,0,1,1,yes,mangement self-employed,male
97.24587458745874,12,repaid,radio/tv,3059,18426.0,4 years,2,divorced,none,24 years,real estate,61,none,own,1,0,1,0,yes,unskilled resident,male
13.0,30,critical,car (new),5234,52.0,1 years,4,married,none,10 months,other,28,none,own,2,1,1,0,yes,mangement self-employed,male
26.0,12,repaid,car (new),1295,93.0,6 months,3,single,none,0 months,other,25,none,rent,1,1,1,0,yes,skilled employee,female
-31.0,48,repaid,business,4308,71.0,5 months,3,single,none,10 years,building society savings,24,none,rent,1,1,1,0,yes,skilled employee,female
23.0,12,repaid,radio/tv,1567,48.0,2 years,1,single,none,2 years,other,22,none,own,1,0,1,1,yes,skilled employee,female
-36.0,24,critical,car (new),1199,32.0,16 years,4,single,none,24 years,other,60,none,own,2,1,1,0,yes,unskilled resident,male
-23.0,15,repaid,car (new),1403,86.0,3 years,2,single,none,19 years,other,28,none,rent,1,0,1,0,yes,skilled employee,female
-6.0,24,repaid,radio/tv,1282,209.0,1 years,4,single,none,0 months,other,32,none,own,1,1,1,0,yes,unskilled resident,female
97.24587458745874,24,critical,radio/tv,2424,781.5703794369645,17 years,4,single,none,7 years,building society savings,53,none,own,2,0,1,0,yes,skilled employee,male
-34.0,30,fully repaid,business,8072,781.5703794369645,3 months,2,single,none,3 years,other,25,bank,own,3,0,1,0,yes,skilled employee,male
83.0,24,repaid,car (used),12579,16.0,17 years,4,single,none,8 months,unknown/none,44,none,for free,1,1,1,1,yes,mangement self-employed,female
97.24587458745874,24,repaid,radio/tv,3430,535.0,9 years,3,single,none,7 months,other,31,none,own,1,0,2,1,yes,skilled employee,male
97.24587458745874,9,critical,car (new),2134,97.0,1 years,4,single,none,14 years,other,48,none,own,3,0,1,1,yes,skilled employee,male
-8.0,6,repaid,radio/tv,2647,530.0,1 years,2,single,none,3 years,real estate,44,none,rent,1,0,2,0,yes,skilled employee,male
-18.0,10,critical,car (new),2241,14.0,4 months,1,single,none,1 years,real estate,48,none,rent,2,0,2,0,no,unskilled resident,male
113.0,12,critical,car (used),1804,361.0,3 months,3,single,none,16 years,building society savings,44,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,10,critical,furniture,2069,781.5703794369645,2 years,2,married,none,2 years,other,26,none,own,2,0,1,0,no,skilled employee,male
-21.0,6,repaid,furniture,1374,75.0,2 years,1,single,none,3 months,real estate,36,bank,own,1,0,1,1,yes,unskilled resident,male
97.24587458745874,6,fully repaid,radio/tv,426,67.0,10 years,4,married,none,14 years,other,39,none,own,1,0,1,0,yes,unskilled resident,male
979.0,12,fully repaid this bank,radio/tv,409,7858.0,1 years,3,single,none,1 years,real estate,42,none,rent,2,0,1,0,yes,skilled employee,female
162.0,7,repaid,radio/tv,2415,10.0,3 years,3,single,guarantor,6 months,real estate,34,none,own,1,0,1,0,yes,skilled employee,male
-2.0,60,delayed,business,6836,73.0,10 years,3,single,none,10 years,unknown/none,63,none,own,2,1,1,1,yes,skilled employee,male
191.0,18,repaid,business,1913,9343.0,10 months,3,married,none,2 years,real estate,36,bank,own,1,0,1,1,yes,skilled employee,male
-31.0,24,repaid,furniture,4020,28.0,3 years,2,single,none,10 months,other,27,stores,own,1,0,1,0,yes,skilled employee,male
116.0,18,repaid,car (new),5866,205.0,3 years,2,single,none,3 months,other,30,none,own,2,0,1,1,yes,skilled employee,male
97.24587458745874,12,critical,business,1264,781.5703794369645,11 years,4,single,none,20 years,unknown/none,57,none,rent,1,0,1,0,yes,unskilled resident,male
837.0,12,repaid,furniture,1474,62.0,1 months,4,single,none,2 years,building society savings,33,bank,own,1,0,1,1,yes,mangement self-employed,female
59.0,45,critical,radio/tv,4746,63.0,7 months,4,single,none,6 months,building society savings,25,none,own,2,1,1,0,yes,unskilled resident,male
97.24587458745874,48,critical,education,6110,41.0,2 years,1,single,none,2 years,unknown/none,31,bank,for free,1,0,1,1,yes,skilled employee,male
884.0,18,repaid,radio/tv,2100,4.0,1 years,4,single,co-applicant,11 months,real estate,37,stores,own,1,1,1,0,yes,skilled employee,male
646.0,10,repaid,domestic appliances,1225,42.0,3 years,2,single,none,5 months,other,37,none,own,1,0,1,1,yes,skilled employee,male
128.0,9,repaid,radio/tv,458,41.0,1 years,4,single,none,2 years,real estate,24,none,own,1,0,1,0,yes,skilled employee,male
97.24587458745874,30,repaid,radio/tv,2333,957.0,19 years,4,single,none,8 months,other,30,bank,own,1,0,1,0,yes,mangement self-employed,male
162.0,12,repaid,radio/tv,1158,641.0,2 years,3,divorced,none,2 years,other,26,none,own,1,0,1,1,yes,skilled employee,male
126.0,18,delayed,repairs,6204,90.0,1 years,2,single,none,14 years,real estate,44,none,own,1,0,2,1,yes,unskilled resident,male
-19.0,30,critical,car (used),6187,118.0,7 years,1,married,none,16 years,other,24,none,rent,2,0,1,0,yes,skilled employee,male
-1.0,48,critical,car (used),6143,12.0,14 years,4,single,none,21 years,unknown/none,58,stores,for free,2,1,1,0,yes,unskilled resident,female
